,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,STREAK_A,PTS_B,PTS_CON_B,FG_PCT_B,FG3_PCT_B,FT_PCT_B,REB_B,TOV_B,BLK_B,SEASON_B_PCT,H/A_B,ELO_B,STREAK_B,WINNER
64,100.0,107.75,0.45975,0.2625,0.76725,40.5,18.25,4.0,0.25,0.0,1475.2105051246174,1,96.4,103.2,0.417,0.3,0.6982000000000002,44.4,13.0,4.4,0.4,0.5,1477.0800544886056,2,B
65,106.0,105.25,0.4285,0.31900000000000006,0.7609999999999999,52.25,18.0,5.0,0.5,0.6666666666666666,1502.6257691694248,1,100.0,94.4,0.4492,0.355,0.7567999999999999,47.4,13.2,3.8,0.6,1.0,1517.8109692084686,-1,B
66,99.66666666666667,102.5,0.45133333333333336,0.32883333333333337,0.7526666666666667,40.333333333333336,15.166666666666666,3.5,0.3333333333333333,0.25,1480.3799144398877,-3,106.2,106.6,0.4676,0.3088,0.8131999999999999,44.0,14.2,5.0,0.6,0.6666666666666666,1502.800930012993,2,B
67,109.0,102.4,0.4584,0.39479999999999993,0.8277999999999999,50.2,15.2,5.4,0.6,0.5,1517.0181592398574,-2,109.4,115.0,0.4624,0.39980000000000004,0.7750000000000001,41.8,16.0,6.2,0.4,1.0,1478.01346700909,-1,B
68,110.2,107.4,0.47059999999999996,0.3652,0.7121999999999999,42.6,15.6,3.2,0.6,0.5,1511.5330318741453,1,106.4,96.8,0.45599999999999996,0.3246,0.6958,45.2,16.4,4.8,0.6,0.6666666666666666,1527.1144563785995,-2,B
69,102.0,101.6,0.4226,0.2954,0.6926,49.6,18.0,4.4,0.8,1.0,1510.7155078442302,-1,104.0,97.5,0.47425000000000006,0.415,0.7457499999999999,43.5,15.5,4.75,0.25,0.0,1509.0536551726389,-1,A
70,105.33333333333333,112.33333333333333,0.43333333333333335,0.29266666666666663,0.7458333333333335,49.5,15.666666666666666,3.1666666666666665,0.3333333333333333,0.3333333333333333,1469.1169729076432,2,108.83333333333333,108.5,0.4575,0.30716666666666664,0.8428333333333334,43.333333333333336,17.666666666666668,4.833333333333333,0.5,1.0,1506.4895578984558,2,B
71,94.0,93.66666666666667,0.438,0.38799999999999996,0.7506666666666666,40.5,13.5,4.833333333333333,0.5,0.3333333333333333,1504.8066566249774,-1,100.8,109.0,0.4506,0.35320000000000007,0.7266,40.0,12.8,5.4,0.4,0.5,1477.9067717483756,1,A
72,102.0,104.8,0.4088,0.31120000000000003,0.7787999999999999,51.4,17.6,4.4,0.4,0.5,1488.7862032854891,-1,110.8,109.6,0.49400000000000005,0.39159999999999995,0.7232,40.6,12.8,6.2,0.6,1.0,1509.859908608534,-1,A
73,108.0,104.0,0.47300000000000003,0.328,0.8176666666666667,45.5,14.666666666666666,5.833333333333333,0.6666666666666666,0.5,1520.9229399511478,3,97.4,106.2,0.4164,0.32639999999999997,0.8109999999999999,41.2,12.8,4.0,0.0,0.0,1455.0040686293687,-5,B
74,102.8,95.4,0.466,0.2614,0.8202,45.2,13.4,3.8,0.8,0.75,1533.3526854662748,3,98.42857142857143,104.57142857142857,0.443,0.33285714285714285,0.7578571428571428,39.714285714285715,15.142857142857142,3.4285714285714284,0.2857142857142857,0.2,1462.2579045017328,-4,B
75,95.83333333333333,101.66666666666667,0.4004999999999999,0.3518333333333334,0.7541666666666665,44.0,16.5,5.5,0.5,0.75,1477.641217528975,-1,109.66666666666667,111.83333333333333,0.4556666666666667,0.3881666666666667,0.8231666666666667,42.333333333333336,15.0,5.0,0.5,0.6666666666666666,1490.1899404973005,1,B
76,92.8,104.2,0.42560000000000003,0.34080000000000005,0.7305999999999999,41.2,17.2,6.8,0.0,0.0,1451.4926343901188,-5,96.85714285714286,95.85714285714286,0.4478571428571429,0.3782857142857142,0.7658571428571428,39.57142857142857,13.142857142857142,4.714285714285714,0.5714285714285714,0.5,1511.1634580744173,1,B
77,100.33333333333333,107.5,0.42016666666666663,0.26166666666666666,0.7226666666666667,42.5,13.333333333333334,7.0,0.0,0.0,1452.9191064537995,-6,112.33333333333333,110.0,0.4848333333333333,0.30283333333333334,0.7836666666666666,43.0,16.333333333333332,5.666666666666667,0.6666666666666666,0.5,1516.0086961258305,-1,B
78,95.0,100.33333333333333,0.4136666666666667,0.3035,0.6868333333333334,44.166666666666664,12.333333333333334,4.666666666666667,0.5,0.3333333333333333,1481.8787418164882,3,106.5,103.83333333333333,0.45366666666666666,0.3845,0.8231666666666665,48.5,15.666666666666666,5.333333333333333,0.5,0.6666666666666666,1500.2086473215331,-3,B
79,100.5,93.0,0.45366666666666666,0.3541666666666667,0.7518333333333334,47.333333333333336,13.333333333333334,4.666666666666667,0.6666666666666666,0.0,1531.6505350924042,1,102.66666666666667,90.66666666666667,0.43333333333333335,0.313,0.7293333333333334,45.0,12.833333333333334,4.833333333333333,0.8333333333333334,0.6666666666666666,1557.3573801245227,2,B
80,102.0,95.8,0.42939999999999995,0.3236,0.7647999999999999,46.2,11.6,6.2,0.8,0.5,1527.8873537721656,2,109.66666666666667,111.5,0.4745,0.41016666666666673,0.743,40.833333333333336,15.333333333333334,6.666666666666667,0.5,0.0,1494.8229789274142,1,A
81,97.2,103.8,0.4468,0.2806,0.755,42.2,16.8,4.2,0.2,0.5,1470.4118177967348,-1,108.0,108.16666666666667,0.4646666666666666,0.3598333333333334,0.7345,42.666666666666664,17.333333333333332,3.8333333333333335,0.5,0.4,1498.831289773567,-1,B
82,98.6,98.2,0.4272,0.35619999999999996,0.6716,45.6,14.8,6.2,0.4,0.5,1499.344884336355,-1,103.66666666666667,100.0,0.43933333333333335,0.31916666666666665,0.6813333333333333,48.166666666666664,17.0,5.166666666666667,0.8333333333333334,1.0,1526.99578215699,1,B
83,95.5,101.0,0.4095,0.31149999999999994,0.8286666666666666,42.0,13.333333333333334,3.6666666666666665,0.16666666666666666,0.0,1468.8078485643816,1,110.28571428571429,108.42857142857143,0.4572857142857143,0.32542857142857146,0.8325714285714286,44.714285714285715,17.857142857142858,4.857142857142857,0.5714285714285714,1.0,1516.03560310223,3,A
84,101.6,100.4,0.458,0.3742,0.7484,43.0,15.8,5.4,0.2,0.0,1492.7733808598791,-2,103.33333333333333,107.33333333333333,0.43416666666666676,0.31,0.8111666666666668,46.166666666666664,16.666666666666668,3.8333333333333335,0.3333333333333333,0.5,1483.4860292730962,-1,B
85,107.33333333333333,96.83333333333333,0.4681666666666666,0.33716666666666667,0.677,45.0,17.0,5.0,0.6666666666666666,0.5,1539.8161984791777,1,112.33333333333333,103.5,0.4531666666666667,0.38716666666666666,0.7798333333333334,44.666666666666664,12.833333333333334,4.5,1.0,1.0,1550.9500114437892,6,A
86,108.28571428571429,109.28571428571429,0.45500000000000007,0.3932857142857143,0.822,41.57142857142857,15.0,5.0,0.5714285714285714,0.3333333333333333,1497.5694159992204,2,105.71428571428571,113.28571428571429,0.4342857142857143,0.29371428571428565,0.7515714285714287,48.142857142857146,16.0,3.0,0.2857142857142857,0.25,1459.570927703869,-1,A
87,98.125,102.875,0.442125,0.33037500000000003,0.755875,40.625,14.625,3.625,0.375,0.5,1471.225595269988,1,101.14285714285714,108.71428571428571,0.4298571428571428,0.27185714285714285,0.7305714285714286,42.57142857142857,14.285714285714286,6.142857142857143,0.0,0.0,1444.8146114422027,-7,A
88,95.57142857142857,101.42857142857143,0.39799999999999996,0.3345714285714286,0.7625714285714285,44.0,16.0,5.428571428571429,0.42857142857142855,0.6,1470.261742027055,-2,105.5,105.16666666666667,0.428,0.339,0.7779999999999999,50.666666666666664,17.666666666666668,4.666666666666667,0.5,0.6,1503.9521499289172,1,A
89,97.42857142857143,100.42857142857143,0.4258571428571428,0.3291428571428571,0.8341428571428571,41.285714285714285,13.0,3.7142857142857144,0.2857142857142857,0.25,1482.5347648173458,2,112.85714285714286,109.42857142857143,0.487,0.32485714285714284,0.7907142857142857,42.285714285714285,16.142857142857142,5.428571428571429,0.7142857142857143,0.6666666666666666,1524.1131911374273,1,B
90,108.85714285714286,107.85714285714286,0.4724285714285714,0.37400000000000005,0.7485714285714286,41.857142857142854,17.428571428571427,4.285714285714286,0.5714285714285714,0.5,1506.9842231143105,1,102.57142857142857,97.14285714285714,0.44200000000000006,0.4008571428571428,0.8709999999999999,44.57142857142857,12.142857142857142,5.857142857142857,0.7142857142857143,0.3333333333333333,1526.8297042078598,-1,A
91,102.16666666666667,109.83333333333333,0.45983333333333337,0.36100000000000004,0.7546666666666667,39.833333333333336,12.833333333333334,5.333333333333333,0.3333333333333333,0.3333333333333333,1471.5499702989357,-1,105.57142857142857,107.71428571428571,0.4511428571428572,0.31771428571428567,0.8217142857142858,45.714285714285715,17.285714285714285,4.0,0.42857142857142855,0.0,1493.554803002621,1,A
92,97.85714285714286,96.0,0.44114285714285717,0.35114285714285715,0.7432857142857143,46.142857142857146,13.0,4.285714285714286,0.5714285714285714,0.0,1510.8520817053427,-1,107.625,114.625,0.4425,0.298625,0.7636250000000001,47.25,16.0,2.875,0.25,0.3333333333333333,1454.736288707389,-2,B
93,104.28571428571429,89.42857142857143,0.44842857142857145,0.3425714285714286,0.7485714285714286,45.142857142857146,12.714285714285714,5.142857142857143,0.8571428571428571,0.75,1578.1558335115842,3,110.25,110.75,0.46762500000000007,0.400625,0.8085,40.75,15.625,4.875,0.625,0.75,1502.4040549957006,3,A
94,92.85714285714286,102.0,0.41000000000000003,0.303,0.7077142857142859,43.42857142857143,12.714285714285714,4.857142857142857,0.42857142857142855,0.6666666666666666,1460.48166487526,-1,103.0,103.5,0.4523333333333333,0.3833333333333333,0.7426666666666666,42.666666666666664,16.0,5.0,0.16666666666666666,0.0,1482.7046071303544,-3,B
