,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,WINNER
398,CLE,1610612739,2018-01-03,88,102,0.348,0.25,1.0,48,15,7,0.6756756756756757,0.5,1571.2006559299055,1584.299194779331,1,18.02471346964479,0
399,BOS,1610612738,2018-01-03,102,88,0.446,0.333,0.727,52,16,2,0.75,0.7,1584.299194779331,1571.2006559299055,3,15.004346615459177,1
400,DET,1610612765,2018-01-03,104,111,0.477,0.375,0.813,35,9,2,0.5714285714285714,0.4,1515.2600326315583,1477.2967269398205,1,15.442497515909746,0
401,MIA,1610612748,2018-01-03,111,104,0.512,0.5,0.727,41,12,3,0.5277777777777778,0.5,1477.2967269398205,1515.2600326315583,1,16.348797374970683,1
402,UTA,1610612762,2018-01-03,98,108,0.452,0.219,0.882,36,14,1,0.43243243243243246,0.7,1487.035666330521,1504.8586754481043,1,13.225570039328757,0
403,NOP,1610612740,2018-01-03,108,98,0.5,0.467,1.0,42,20,2,0.5,0.4,1504.8586754481043,1487.035666330521,-2,20.181846656734095,1
404,GSW,1610612744,2018-01-03,125,122,0.527,0.406,0.842,46,14,7,0.7837837837837838,0.9,1645.7037848411937,1488.9086249037218,1,21.95145887264166,1
405,DAL,1610612742,2018-01-03,122,125,0.478,0.442,0.773,40,13,2,0.34210526315789475,0.7,1488.9086249037218,1645.7037848411937,4,18.46721802245536,0
406,OKC,1610612760,2018-01-04,127,117,0.537,0.441,0.714,46,14,6,0.5526315789473685,0.5,1571.075572589218,1496.658857235524,1,21.105773402607348,1
407,LAC,1610612746,2018-01-04,117,127,0.45,0.3,0.783,45,10,2,0.4722222222222222,0.7,1496.658857235524,1571.075572589218,4,15.175788666670812,0
408,GSW,1610612744,2018-01-04,124,114,0.552,0.433,0.75,45,13,6,0.7894736842105263,0.9,1648.5702324065376,1620.9967273629074,2,20.56248824294513,1
409,HOU,1610612745,2018-01-04,114,124,0.472,0.34,0.591,38,10,3,0.75,0.8,1620.9967273629074,1648.5702324065376,2,16.928576683457276,0
410,PHI,1610612755,2018-01-05,114,78,0.489,0.467,0.923,55,14,4,0.4864864864864865,0.4,1501.6701933232293,1505.6394878266944,3,17.742028292389527,1
411,DET,1610612765,2018-01-05,78,114,0.385,0.318,0.579,34,12,4,0.5555555555555556,0.3,1505.6394878266944,1501.6701933232293,-1,13.195679218289635,0
412,PHX,1610612756,2018-01-05,89,103,0.422,0.233,0.667,46,23,2,0.375,0.4,1396.7788120919724,1557.9614366841226,-1,11.646294262570958,0
413,SAS,1610612759,2018-01-05,103,89,0.471,0.367,0.556,44,17,6,0.6666666666666666,1.0,1557.9614366841226,1396.7788120919724,-1,13.735666464540612,1
414,LAL,1610612747,2018-01-05,94,108,0.404,0.25,0.75,46,16,3,0.2972972972972973,0.2,1393.7103398523068,1478.6358822324598,-8,15.807572633866792,0
415,CHA,1610612766,2018-01-05,108,94,0.424,0.364,0.75,56,15,3,0.3783783783783784,0.3,1478.6358822324598,1393.7103398523068,1,18.378476159308388,1
416,MIA,1610612748,2018-01-05,107,103,0.404,0.286,0.95,44,15,5,0.5405405405405406,0.6,1486.9172717446843,1468.8243616812172,2,18.258734522838143,1
417,NYK,1610612752,2018-01-05,103,107,0.488,0.385,0.87,39,19,7,0.47368421052631576,0.2,1468.8243616812172,1486.9172717446843,-2,15.080183521703272,0
418,POR,1610612757,2018-01-05,110,89,0.538,0.433,0.786,44,18,5,0.5135135135135135,0.4,1482.8141754958563,1430.4325458298968,-1,14.196873414479125,1
419,ATL,1610612737,2018-01-05,89,110,0.361,0.308,0.84,39,16,5,0.2702702702702703,0.1,1430.4325458298968,1482.8141754958563,-1,17.35056545895138,0
420,MIL,1610612749,2018-01-05,110,129,0.532,0.412,0.724,28,11,4,0.5555555555555556,0.8,1519.7159330080244,1619.392232987666,1,18.107337588534378,0
