,TEAM_ABBV,TEAM_ID,DATE,PTS_A,PTS_CON_A,FG_PCT_A,FG3_PCT_A,FT_PCT_A,REB_A,TOV_A,BLK_A,SEASON_A_PCT,H/A_A,ELO_A,ELO_OPP,STREAK_A,PER_A,ODDS_A,ODDS_OPP,WINNER
104,GSW,1610612744,2021-01-30,118,91,0.528,0.472,0.7,47,14,5,0.5263157894736842,0.7,1486.7187618063242,1466.4234459635873,-1,17.89785697928562,1.47,2.82,1
105,DET,1610612765,2021-01-30,91,118,0.377,0.25,0.75,38,16,4,0.2631578947368421,0.125,1466.4234459635873,1486.7187618063242,1,13.500812028182132,2.82,1.47,0
106,SAS,1610612759,2021-01-30,112,129,0.47,0.448,0.808,38,14,5,0.5789473684210527,0.5,1529.7728009285806,1508.6637098275944,3,18.020681286811232,1.62,2.39,0
107,MEM,1610612763,2021-01-30,129,112,0.56,0.486,0.667,45,15,7,0.5384615384615384,0.8,1508.6637098275944,1529.7728009285806,5,18.153314219167147,2.39,1.62,1
108,CHI,1610612741,2021-01-30,122,123,0.506,0.467,1.0,43,15,2,0.4117647058823529,0.2857142857142857,1477.4191110847137,1484.686233079601,-2,19.381649231509535,1.8,2.08,0
109,POR,1610612757,2021-01-30,123,122,0.511,0.405,0.842,35,8,1,0.5294117647058824,0.5714285714285714,1484.686233079601,1477.4191110847137,-2,18.02715904039615,2.08,1.8,1
110,PHX,1610612756,2021-01-30,111,105,0.457,0.455,0.871,42,13,0,0.5294117647058824,0.5555555555555556,1518.1141056791143,1470.1833602620088,1,17.305145987316646,1.97,1.88,1
111,DAL,1610612742,2021-01-30,105,111,0.53,0.31,0.571,37,16,4,0.42105263157894735,0.3333333333333333,1470.1833602620088,1518.1141056791143,-4,17.017679688521785,1.88,1.97,0
112,DEN,1610612743,2021-01-31,128,117,0.54,0.643,0.842,39,8,2,0.5789473684210527,0.4444444444444444,1554.2161264399556,1611.825500313364,-1,20.02328966837389,2.3,1.66,1
113,UTA,1610612762,2021-01-31,117,128,0.427,0.426,0.846,38,15,4,0.7894736842105263,0.7777777777777778,1611.825500313364,1554.2161264399556,11,21.204482189689617,1.66,2.3,0
114,BKN,1610612751,2021-01-31,146,149,0.568,0.528,0.818,45,17,5,0.6190476190476191,0.5,1554.46056526403,1429.9014826368564,4,21.778732280785047,1.39,3.15,0
115,WAS,1610612764,2021-01-31,149,146,0.519,0.308,0.781,39,7,2,0.2,0.14285714285714285,1429.9014826368564,1554.46056526403,-4,20.421865770474792,3.15,1.39,1
116,SAS,1610612759,2021-02-01,102,133,0.416,0.351,0.682,42,15,7,0.55,0.4,1513.9696133475109,1524.4668974086642,-1,20.570833009661126,1.58,2.48,0
117,MEM,1610612763,2021-02-01,133,102,0.559,0.5,0.778,53,11,11,0.5714285714285714,0.8333333333333334,1524.4668974086642,1513.9696133475109,6,18.607191561562068,2.48,1.58,1
118,CLE,1610612739,2021-02-01,100,98,0.417,0.318,0.742,52,15,12,0.45,0.6,1449.0508167533787,1391.1907843133256,-2,17.176286517516676,1.63,2.37,1
119,MIN,1610612750,2021-02-01,98,100,0.392,0.289,0.636,45,8,1,0.2631578947368421,0.125,1391.1907843133256,1449.0508167533787,1,17.939585809027818,2.37,1.63,0
120,PHX,1610612756,2021-02-01,109,108,0.467,0.371,0.833,45,16,3,0.5555555555555556,0.6,1524.5403635078862,1463.757102433237,2,18.34149096362086,2.13,1.77,1
121,DAL,1610612742,2021-02-01,108,109,0.43,0.313,0.96,42,14,7,0.4,0.2857142857142857,1463.757102433237,1524.5403635078862,-5,17.28573463237929,1.77,2.13,0
